City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Nālūt,7,LY,1640318324,44,30.3333,10.85,50.85,5.73
Butaritari,53,KI,1640318325,79,3.0707,172.7902,81.93,11.52
Castro,44,BR,1640318326,86,-24.7911,-50.0119,57.78,10.71
Honolulu,40,US,1640318132,68,21.3069,-157.8583,76.86,15.01
Nola,71,IT,1640318328,91,40.922,14.5329,54.55,3.51
Hermanus,100,ZA,1640318329,80,-34.4187,19.2345,60.91,13.11
Upernavik,100,GL,1640318331,95,72.7868,-56.1549,24.78,3.62
Amga,98,RU,1640318332,97,60.8953,131.9608,-37.64,0.72
Nantucket,63,US,1640318304,46,41.2835,-70.0995,29.97,11.68
Port Macquarie,60,AU,1640318334,73,-31.4333,152.9167,81.9,8.03
Datong,0,CN,1640318335,26,40.0936,113.2914,12.63,9.4
Bharatpur,3,IN,1640318336,43,27.2167,77.4833,62.33,5.01
Kampot,94,KH,1640318338,69,10.6167,104.1833,82.45,7.23
Yellowknife,90,CA,1640318339,83,62.456,-114.3525,-10.59,5.75
Lensk,71,RU,1640318340,96,60.7253,114.9278,-16.13,9.71
Malé,40,MV,1640318124,74,4.1748,73.5089,82.35,9.22
Pevek,100,RU,1640318343,94,69.7008,170.3133,-18.87,2.98
Torbay,20,CA,1640318345,79,47.6666,-52.7314,31.57,31.07
Faanui,75,PF,1640318349,75,-16.4833,-151.75,82.53,17.78
Talnakh,100,RU,1640318350,94,69.4865,88.3972,7.21,11.16
Puerto Ayora,87,EC,1640318351,92,-0.7393,-90.3518,69.42,6.8
‘Āhuimanu,40,US,1640318353,70,21.4447,-157.8378,76.75,5.99
Neiafu,40,TO,1640318354,70,-18.65,-173.9833,84.88,9.22
Mayumba,99,GA,1640318356,91,-3.432,10.6554,75.13,4.05
Ancud,0,CL,1640318357,92,-41.8697,-73.8203,52.43,4.54
Carutapera,96,BR,1640318358,85,-1.195,-46.02,78.44,5.14
Songea,96,TZ,1640318359,81,-10.6833,35.65,66.96,3.2
Haines Junction,100,CA,1640318360,62,60.7522,-137.5108,13.95,11.5
Ganta,27,LR,1640318362,79,7.3022,-8.5308,68.27,1.5
Tarascon,100,FR,1640318364,96,43.8058,4.6603,55.49,5.19
Port Elizabeth,75,ZA,1640318220,100,-33.918,25.5701,57.09,0.0
Tatarskaya Kargala,94,RU,1640318366,100,51.9495,55.1731,-16.58,2.48
Udachny,100,RU,1640318367,83,66.4167,112.4,-2.56,3.98
Dikson,100,RU,1640318216,88,73.5069,80.5464,8.38,25.5
Norman Wells,100,CA,1640318369,99,65.282,-126.8329,-12.71,4.56
Poso,95,ID,1640318371,68,-1.3959,120.7524,85.12,4.63
Palmer,75,US,1640318151,65,42.1584,-72.3287,27.0,0.0
Brædstrup,100,DK,1640318374,93,55.9708,9.6085,29.71,6.33
New Norfolk,71,AU,1640318285,32,-42.7826,147.0587,79.66,1.99
Noumea,16,NC,1640318377,99,-22.2763,166.4572,82.99,14.05
Codrington,37,AU,1640318378,48,-38.2667,141.9667,70.2,15.19
Flin Flon,100,CA,1640318233,94,54.7682,-101.865,1.38,13.71
Rocha,0,UY,1640318381,96,-34.4833,-54.3333,59.83,4.72
Terney,0,RU,1640318382,57,45.0503,136.6092,1.29,13.38
Chui,4,UY,1640318385,90,-33.6971,-53.4616,63.18,6.11
Paamiut,100,GL,1640318387,73,61.994,-49.6678,27.64,6.85
Samarai,100,PG,1640318388,74,-10.6167,150.6667,84.25,13.06
Astoria,90,US,1640318390,89,46.1879,-123.8313,43.86,5.01
Chernyshevskiy,100,RU,1640318391,97,63.0128,112.4714,-2.88,10.2
Tuktoyaktuk,90,CA,1640318392,78,69.4541,-133.0374,-2.2,23.02
Adrar,30,MR,1640318393,30,20.5022,-10.0711,63.23,10.42
Teahupoo,59,PF,1640318394,77,-17.8333,-149.2667,80.56,16.8
Erzin,4,TR,1640318396,62,36.9559,36.2,32.52,3.13
Pihuamo,1,MX,1640318397,82,19.2499,-103.3828,65.32,3.06
Ilulissat,99,GL,1640318398,97,69.2167,-51.1,20.88,4.14
Eilat,0,IL,1640318253,66,29.5581,34.9482,49.84,5.75
Carnarvon,0,AU,1640318330,58,-24.8667,113.6333,86.07,9.22
Salinópolis,86,BR,1640318402,83,-0.6136,-47.3561,79.68,7.96
Khatanga,77,RU,1640318407,93,71.9667,102.5,-17.63,2.35
Touros,16,BR,1640318410,80,-5.1989,-35.4608,78.87,5.86
Avarua,100,CK,1640318366,78,-21.2078,-159.775,80.65,12.66
Corn Island,5,NI,1640318412,69,12.1694,-83.0418,80.42,24.83
Santa Fe,3,AR,1640318413,49,-31.6333,-60.7,76.98,1.01
Dhārchula,0,IN,1640318415,26,29.85,80.5333,57.33,1.54
Kūstī,77,SD,1640318416,20,13.1629,32.6635,67.46,11.3
Fare,29,PF,1640318418,77,-16.7,-151.0167,82.08,17.47
Jewar,18,IN,1640318421,38,28.1333,77.55,63.68,4.97
Grand Gaube,58,MU,1640318422,78,-20.0064,57.6608,81.37,5.99
Ørnes,92,NO,1640318424,91,66.8689,13.7078,20.03,4.59
Nishihara,75,JP,1640318425,83,26.1842,127.7558,74.86,8.05
Cherskiy,100,RU,1640318427,98,68.75,161.3,-25.92,5.97
Teknāf,0,BD,1640318428,57,20.8624,92.3058,71.38,2.26
Abu Kamal,100,SY,1640318430,84,34.4506,40.9171,46.9,10.33
Fontem,68,CM,1640318432,55,5.4685,9.8818,67.87,3.13
Cape Town,5,ZA,1640318433,80,-33.9258,18.4232,62.28,1.99
Port Montt,2,CL,1640318425,94,-41.4698,-72.9447,50.94,3.91
Narsaq,100,GL,1640318435,59,60.9167,-46.05,39.42,11.86
Kiama,68,AU,1640318436,78,-34.6833,150.8667,78.39,1.01
Vaitape,73,PF,1640318437,75,-16.5167,-151.75,82.54,17.74
Port Blair,29,IN,1640318439,70,11.6667,92.75,80.46,8.77
Lüderitz,0,NA,1640318440,90,-26.6481,15.1594,61.74,8.32
Ventspils,90,LV,1640318400,93,57.3894,21.5606,35.53,10.36
Lithakia,29,GR,1640318442,59,37.7167,20.8333,33.17,4.92
Hilo,79,US,1640318204,1,19.7297,-155.09,69.12,6.53
Quthing,77,LS,1640318446,81,-30.4,27.7003,55.27,3.2
Altus,1,US,1640318447,28,34.6381,-99.334,60.51,4.61
Saskylakh,57,RU,1640318448,100,71.9167,114.0833,-42.14,2.3
Paphos,3,CY,1640318449,70,34.7667,32.4167,42.58,5.75
Kindu,100,CD,1640318450,98,-2.95,25.95,69.53,1.32
Pacifica,75,US,1640318452,93,37.6138,-122.4869,55.94,1.01
Tautira,49,PF,1640318453,77,-17.7333,-149.15,86.02,16.51
Akdepe,100,TM,1640318454,79,42.0551,59.3788,28.4,15.26
Korsholm,90,FI,1640318456,86,63.1142,21.6822,21.88,17.27
Napanee,100,CA,1640318457,90,44.2501,-76.9494,29.86,6.93
Yeniseysk,58,RU,1640318458,73,58.4497,92.1703,-1.1,11.16
Belle Fourche,96,US,1640318459,33,44.6714,-103.8522,56.12,32.01
Magán,100,ES,1640318460,83,39.9683,-3.931,52.75,5.37
Altay,0,CN,1640318462,70,47.8667,88.1167,21.07,5.23
Mīrābād,14,AF,1640318463,26,30.4362,61.8383,51.15,1.01
Isiro,94,CD,1640318464,93,2.7739,27.616,67.15,1.36
Leningradskiy,96,RU,1640318465,92,69.3833,178.4167,-20.69,4.05
Long Xuyen,64,VN,1640318466,65,10.3833,105.4167,82.35,7.9
Tarazona,100,ES,1640318468,85,41.9,-1.7333,46.22,4.07
Cidreira,5,BR,1640318469,74,-30.1811,-50.2056,68.49,8.59
Mogadishu,99,SO,1640318470,80,2.0371,45.3438,79.43,14.67
Cabo San Lucas,100,MX,1640317950,54,22.8909,-109.9124,71.51,2.84
Beringovskiy,100,RU,1640318473,96,63.05,179.3167,23.63,11.36
San Quintín,86,MX,1640318474,70,30.4833,-115.95,60.91,2.04
Sfântu Gheorghe,100,RO,1640318475,88,45.8667,25.7833,33.26,1.68
Tiksi,97,RU,1640318476,100,71.6872,128.8694,-19.75,2.73
Jalingo,70,NG,1640318477,29,8.8833,11.3667,72.82,5.95
Hīt,100,IQ,1640318480,66,33.6416,42.8251,50.58,4.34
Farrukhnagar,4,IN,1640318481,36,17.0778,78.2011,73.11,4.99
Erdaojiang,62,CN,1640318482,61,41.7764,126.0319,-0.6,5.97
Vilyuysk,32,RU,1640318483,99,63.7553,121.6247,-27.76,3.51
Laas,7,IT,1640318484,54,46.6166,10.7002,21.94,3.78
Lavrentiya,87,RU,1640318487,90,65.5833,-171.0,-8.32,4.07
Mitsamiouli,52,KM,1640318489,74,-11.3847,43.2844,82.74,8.43
Vendôme,100,FR,1640318491,97,47.8,1.0667,50.29,8.79
São João do Piauí,100,BR,1640318493,96,-8.3581,-42.2467,72.81,4.88
Faya,14,SA,1640318494,70,18.3851,42.4509,49.87,6.67
Hasaki,87,JP,1640318495,55,35.7333,140.8333,55.29,4.34
El Dorado,99,US,1640318497,98,38.7666,-120.5177,45.68,5.53
Novoil'insk,96,RU,1640318498,87,51.6829,108.7143,-6.14,0.89
Saint Paul Harbor,1,US,1640318499,67,57.79,-152.4072,38.53,27.54
Zhigansk,100,RU,1640318500,99,66.7697,123.3711,-38.69,8.7
Sola,38,VU,1640318501,77,-13.8833,167.55,81.36,10.56
Saldanha,3,ZA,1640318503,82,-33.0117,17.9442,62.51,7.09
Rundu,71,NA,1640318504,55,-17.9333,19.7667,69.58,3.94
Pisco,98,PE,1640318505,92,-13.7,-76.2167,65.01,4.79
Güicán,100,CO,1640318506,88,6.4618,-72.4113,47.46,2.62
Izumo,41,JP,1640318507,50,35.3667,132.7667,54.91,5.26
Sioux Lookout,97,CA,1640318508,93,50.1001,-91.917,16.14,9.71
Gigmoto,21,PH,1640318510,78,13.7796,124.39,81.25,9.28
Malanje,100,AO,1640318511,99,-9.5402,16.341,63.39,2.93
Karratha,0,AU,1640318512,31,-20.7377,116.8463,97.57,15.7
Bilibino,100,RU,1640318514,92,68.0546,166.4372,-15.05,3.33
Clyde River,36,CA,1640318515,78,70.4692,-68.5914,-9.98,4.18
Togur,100,RU,1640318516,93,58.3631,82.8265,25.7,13.42
Grivenskaya,45,RU,1640318518,96,45.6473,38.176,13.96,5.46
Asău,100,RO,1640318519,74,46.4333,26.4,28.96,6.2
Iqaluit,100,CA,1640318431,78,63.7506,-68.5145,9.7,5.01
Kruisfontein,2,ZA,1640318521,88,-34.0033,24.7314,54.88,3.96
Yanliang,5,CN,1640318522,37,34.6592,109.2292,47.08,6.62
Svetlaya,0,RU,1640318524,52,46.5389,138.3297,3.81,7.34
Lexington,100,US,1640318326,30,37.9887,-84.4777,51.24,1.99
City of San Pedro,21,PH,1640318526,68,14.35,121.0167,87.31,8.59
Alakurtti,100,RU,1640318527,86,66.9672,30.3491,10.63,10.56
Río Gallegos,86,AR,1640318528,49,-51.6226,-69.2181,60.85,9.84
Along,0,IN,1640318529,35,28.1667,94.7667,64.29,0.78
Santa Maria,0,BR,1640318531,73,-29.6842,-53.8069,62.76,7.47
Purpe,99,RU,1640318532,96,64.4803,76.6897,-0.67,11.32
Kaeo,100,NZ,1640318533,51,-35.1,173.7833,78.26,0.92
Tasiilaq,5,GL,1640318368,49,65.6145,-37.6368,12.4,4.47
Tazovsky,51,RU,1640318536,97,67.4667,78.7,-11.4,7.18
Kevsala,44,RU,1640318537,95,45.7983,42.6903,12.15,3.98
Okhotsk,90,RU,1640318538,77,59.3833,143.3,-10.5,17.67
Grand-Santi,98,GF,1640318540,100,4.25,-54.3833,73.11,2.06
Nyrob,92,RU,1640318541,100,60.733,56.7202,-18.44,1.97
Angoche,86,MZ,1640318542,74,-16.2325,39.9086,82.72,11.88
Cotonou,100,BJ,1640318543,77,6.3654,2.4183,78.1,6.02
Savannah Bight,22,HN,1640318545,58,16.45,-85.85,77.0,9.66
Dakar,99,SN,1640318404,72,14.6937,-17.4441,76.08,14.47
Cardston,92,CA,1640318547,93,49.2,-113.3019,11.05,9.28
Vila Franca do Campo,100,PT,1640318548,77,37.7167,-25.4333,63.01,16.64
Mana,100,GF,1640318549,93,5.6592,-53.7767,76.3,8.59
Kosh-Agach,12,RU,1640318550,76,50.0,88.6667,-4.52,2.19
Kachug,8,RU,1640318551,83,53.9606,105.8817,-19.97,1.25
Kloulklubed,91,PW,1640318553,73,7.0419,134.2556,84.06,15.3
Jamestown,100,US,1640318544,89,42.097,-79.2353,31.32,3.0
Molfetta,0,IT,1640318556,79,41.2002,16.5975,51.69,1.99
Medicine Hat,100,CA,1640318461,80,50.0501,-110.6683,10.83,4.0
Haimen,99,CN,1640318559,70,23.1935,116.6142,69.46,4.14
Ilām,55,NP,1640318560,61,26.9167,87.9167,57.6,3.98
Luau,100,AO,1640318561,99,-10.7073,22.2247,64.99,3.83
Seryshevo,58,RU,1640318562,85,51.0933,128.3786,-18.67,5.55
Hohhot,0,CN,1640318563,27,40.8106,111.6522,13.33,8.46
Chicama,38,PE,1640318565,83,-7.8447,-79.1469,69.48,6.44
Airai,98,TL,1640318566,80,-8.9266,125.4092,67.19,3.27
Tura,0,IN,1640318567,43,25.5198,90.2201,69.44,0.76
Naze,100,JP,1640318568,96,28.3667,129.4833,67.06,7.72
Witney,90,GB,1640318570,100,51.7836,-1.4854,47.05,2.3
Meulaboh,71,ID,1640318572,69,4.1363,96.1285,83.21,2.1
Quryq,43,KZ,1640318573,61,43.2,51.65,27.12,9.24
Ledyard Center,90,US,1640318574,51,41.4398,-72.0142,30.29,0.0
Barreirinhas,94,BR,1640318576,82,-2.7469,-42.8264,79.83,7.83
Kavieng,100,PG,1640318577,83,-2.5744,150.7967,81.95,20.54
Williams Lake,100,CA,1640318580,90,52.1415,-122.1445,-2.78,2.26
Dunedin,93,NZ,1640318581,70,-45.8742,170.5036,56.8,3.0
Batagay-Alyta,97,RU,1640318582,99,67.8006,130.4114,-20.65,1.66
Mar del Plata,0,AR,1640318583,89,-38.0023,-57.5575,67.87,17.0
Cao Bang,0,VN,1640318584,52,22.6667,106.25,74.66,3.22
Kaitangata,91,NZ,1640318586,62,-46.2817,169.8464,56.93,8.5
Longyearbyen,20,SJ,1640318587,52,78.2186,15.6401,10.24,16.11
Birjand,34,IR,1640318588,34,32.8663,59.2211,42.49,6.38
Shetpe,39,KZ,1640318589,73,44.1667,52.1167,20.91,4.88
Atikokan,97,CA,1640318590,96,48.7555,-91.6216,19.09,7.07
Vila Velha,75,BR,1640318365,84,-20.3297,-40.2925,73.94,3.0
Humaitá,100,BR,1640318593,99,-7.5061,-63.0208,74.62,1.72
Bathurst,29,AU,1640318307,38,-33.4166,149.5806,85.96,1.01
Butembo,95,CD,1640318595,97,0.15,29.2833,57.7,2.21
Anito,50,PH,1640318596,72,12.4497,125.2886,83.64,9.15
Sisimiut,69,GL,1640318597,89,66.9395,-53.6735,25.99,10.22
Chapais,52,CA,1640318599,100,49.7834,-74.8492,-25.82,0.69
Vao,64,NC,1640318600,83,-22.6667,167.4833,78.19,11.32
Green River,100,US,1640318601,98,41.5286,-109.4662,39.6,18.92
Ahipara,82,NZ,1640318602,65,-35.1667,173.1667,71.87,11.61
Russell,26,US,1640318417,75,32.3502,-85.1999,47.79,3.71
Dekar,29,BW,1640318604,30,-21.5333,21.9333,68.47,4.5
Kerugoya,100,KE,1640318605,83,-0.4989,37.2803,58.28,3.09
Grindavik,0,IS,1640318608,47,63.8424,-22.4338,34.27,5.75
Elizabeth City,1,US,1640318609,87,36.2946,-76.2511,39.22,6.11
Ponta do Sol,53,PT,1640318610,76,32.6667,-17.1,62.13,9.33
Salekhard,90,RU,1640318611,100,66.53,66.6019,-20.69,2.93
Sangmélima,100,CM,1640318612,69,2.9333,11.9833,68.92,1.88
Port Lincoln,78,AU,1640318416,61,-34.7333,135.8667,69.3,15.5
Camargo,94,MX,1640318615,25,27.6667,-105.1667,66.52,7.72
Lewistown,90,US,1640318616,77,40.5992,-77.5714,35.58,0.0
Kitimat,100,CA,1640318416,74,54.0524,-128.6534,15.91,1.01
Weihai,100,CN,1640318618,73,37.5017,122.1136,24.57,28.59
Kurmanayevka,91,RU,1640318619,100,52.5093,52.0675,-16.53,6.38
Taldan,70,RU,1640318620,56,53.6667,124.8,-10.73,9.06
Manggar,98,ID,1640318622,66,-2.8833,108.2667,85.93,1.03
Ponta Delgada,40,PT,1640318623,72,37.7333,-25.6667,63.32,21.85
Dauriya,7,RU,1640318624,70,49.9333,116.8667,-14.3,8.25
Chokurdakh,100,RU,1640318625,100,70.6333,147.9167,-33.38,3.87
Tuatapere,36,NZ,1640318626,57,-46.1333,167.6833,58.82,10.74
Caucayá,99,CO,1640318628,73,-0.1934,-74.7819,79.14,0.13
Nome,10,US,1640318629,82,64.5011,-165.4064,-12.84,4.68
Cefalù,1,IT,1640318630,69,38.0386,14.0229,51.55,1.99
Ostrovnoy,99,RU,1640318631,92,68.0531,39.5131,15.87,10.63
Macklin,100,CA,1640318632,95,52.3334,-109.9348,4.17,18.57
Roebourne,0,AU,1640318633,22,-20.7833,117.1333,101.48,11.27
Pemangkat,53,ID,1640318636,71,1.1667,108.9667,83.21,5.21
Tilichiki,100,RU,1640318637,96,60.4667,166.1,-2.27,12.21
Springbok,0,ZA,1640318638,78,-29.6643,17.8865,58.44,2.42
Los Llanos de Aridane,20,ES,1640318639,82,28.6585,-17.9182,60.55,7.0
Laureles,1,US,1640318640,68,26.1092,-97.4941,69.06,3.0
San Lazaro,0,BZ,1640318641,79,18.0387,-88.6622,63.05,0.51
Pedernales,17,DO,1640318643,73,18.0384,-71.744,77.07,1.39
Tecuala,79,MX,1640318644,76,22.3986,-105.4569,64.87,2.86
La Romana,58,DO,1640318645,90,18.4273,-68.9728,76.73,2.26
Taitung City,40,TW,1640318514,65,22.7583,121.1444,79.07,4.61
Laguna,90,US,1640318647,93,38.421,-121.4238,55.22,4.0
Hannibal,1,US,1640318648,81,39.7084,-91.3585,52.34,5.75
Caravelas,100,BR,1640318651,96,-17.7125,-39.2481,74.37,6.89
Arraial do Cabo,47,BR,1640318652,82,-22.9661,-42.0278,72.79,23.49
Fortuna,90,US,1640318584,96,40.5982,-124.1573,45.93,3.44
Trincomalee,99,LK,1640318654,62,8.5711,81.2335,79.97,10.63
Nanortalik,100,GL,1640318655,59,60.1432,-45.2371,30.25,13.24
Fort Saint James,100,CA,1640318656,99,54.4333,-124.25,-1.14,2.17
Pocatello,90,US,1640318422,86,42.8713,-112.4455,34.86,5.99
Kamenka,31,RU,1640318658,97,51.3223,42.7678,-3.24,7.4
Kununurra,75,AU,1640318660,70,-15.7667,128.7333,85.98,16.11
La Plaine,76,DM,1640318661,80,15.3333,-61.25,76.46,9.64
Yining,100,CN,1640318662,63,29.0361,114.5636,50.52,5.77
Aranos,0,NA,1640318663,27,-24.1333,19.1167,66.47,10.16
Lālmohan,0,BD,1640318664,56,22.3384,90.7419,69.31,5.93
Hamilton,100,US,1640318415,53,39.1834,-84.5333,52.57,11.07
Gloversville,99,US,1640318666,73,43.0528,-74.3438,23.94,2.42
Windsor Locks,90,US,1640318668,60,41.9293,-72.6273,28.99,0.0
Yulara,99,AU,1640318669,23,-25.2406,130.9889,93.16,2.89
Brooks,100,CA,1640318415,82,50.5834,-111.8851,6.04,16.35
Abu Dhabi,0,AE,1640318401,82,24.4667,54.3667,70.97,11.9
Santa Lucía,20,ES,1640318672,82,27.9117,-15.5407,54.72,4.61
Kwang Binh,80,VN,1640318673,81,17.4833,106.6,72.52,6.91
Pemberton,100,CA,1640318415,96,50.3164,-122.8027,26.47,3.36
Yugo-Kamskiy,100,RU,1640318675,96,57.7053,55.5894,-9.38,7.72
Labuhan,100,ID,1640318676,66,-6.8844,112.2051,85.62,9.73
Nemours,100,FR,1640318678,98,48.2751,2.6908,48.65,7.47
Umm Kaddadah,0,SD,1640318679,23,13.6017,26.6876,59.54,15.75
Tananger,75,NO,1640318680,92,58.9333,5.6,35.33,2.3
Itarema,100,BR,1640318681,81,-2.9248,-39.9167,79.54,10.27
Zinder,6,NE,1640318404,19,13.8072,8.9881,59.88,10.71
Luleå,90,SE,1640318683,79,65.5842,22.1547,21.27,12.66
Isla Vista,90,US,1640318685,76,34.4133,-119.861,58.35,3.44
Yar-Sale,54,RU,1640318686,95,66.8333,70.8333,-8.55,7.0
Aitape,98,PG,1640318687,67,-3.1374,142.3475,85.89,9.66
Ballina,76,AU,1640318688,78,-28.8667,153.5667,82.58,7.81
Katobu,95,ID,1640318689,71,-4.9408,122.5276,84.65,5.79
Puerto Madryn,52,AR,1640318690,33,-42.7692,-65.0385,81.0,19.86
Brumado,100,BR,1640318693,97,-14.2036,-41.6653,70.65,2.44
Saint-François,100,FR,1640318695,94,46.4154,3.9054,36.41,2.3
Dawlatabad,0,AF,1640318696,50,36.4141,64.9053,44.6,2.21
Alofi,16,NU,1640318697,69,-19.0595,-169.9187,79.63,6.78
Vanimo,100,PG,1640318698,64,-2.6741,141.3028,86.88,11.18
Sakakah,100,SA,1640318700,64,29.9697,40.2064,49.23,1.23
Khonsa,1,IN,1640318701,51,27.0167,95.5667,62.29,3.44
Monster,90,NL,1640318702,77,52.0258,4.175,50.95,10.0
Houma,30,US,1640318705,91,29.5958,-90.7195,57.2,4.0
Kamsack,100,CA,1640318706,95,51.5667,-101.9009,13.41,12.33
Shelburne,100,CA,1640318417,93,44.0787,-80.2041,27.12,8.08
Dingle,94,PH,1640318709,68,10.9995,122.6711,83.61,13.67
Yaan,98,NG,1640318710,27,7.3833,8.5667,74.43,4.59
Curup,97,ID,1640318711,77,-3.4667,102.5333,78.22,2.19
Nouadhibou,0,MR,1640318712,65,20.931,-17.0347,67.03,10.42
Te Anau,11,NZ,1640318713,34,-45.4167,167.7167,65.48,5.28
Kahului,40,US,1640318653,65,20.8947,-156.47,73.85,13.8
Darnah,13,LY,1640318715,77,32.767,22.6367,55.85,5.55
Krasnoarmeysk,56,RU,1640318717,96,51.0239,45.6969,0.16,9.35
